word	shaw	ipa	pos	var	confidence	notes
councilor	𐑒𐑬𐑯𐑕𐑼𐑤𐑼	kaʊnsəRləR	UNC	RSSB	89	shave_says:𐑒𐑬𐑯𐑕𐑤𐑼
councilors	𐑒𐑬𐑯𐑕𐑼𐑤𐑼𐑟	kaʊnsəRləRz	UNC	RSSB	89	shave_says:𐑒𐑬𐑯𐑕𐑤𐑼𐑟
crawford	𐑒𐑮𐑹𐑓𐑼𐑛	krɔːRfəRd	UNC	RSSB	89	shave_says:𐑒𐑮𐑷𐑓𐑼𐑛
creme	𐑒𐑮𐑱𐑥	kreɪm	UNC	RSSB	89	shave_says:𐑒𐑮𐑧𐑥
creme	𐑒𐑮𐑰𐑥	kriːm	UNC	RSSB	89	shave_says:𐑒𐑮𐑧𐑥
cuckfield	𐑒𐑫𐑒𐑓𐑰𐑤𐑛	kˈʊkfiːld	UNC	RSSB	89	shave_says:𐑒𐑳𐑒𐑓𐑰𐑤𐑛
dagenham	𐑛𐑨𐑜𐑩𐑯𐑩𐑥	dˈæɡənəm	UNC	RSSB	89	shave_says:𐑛𐑭𐑡𐑩𐑯𐑩𐑥
darren	𐑛𐑨𐑮𐑼𐑯	dærəRn	UNC	RSSB	89	shave_says:𐑛𐑨𐑮𐑩𐑯
daryl	𐑛𐑨𐑮𐑦𐑤	dærɪl	UNC	RSSB	89	shave_says:𐑛𐑨𐑮𐑩𐑤
decision-maker	𐑛𐑦𐑕𐑦𐑠𐑩𐑯𐑥𐑱𐑒𐑼	dɪsɪʒənmeɪkəR	UNC	RSSB	89	shave_says:𐑛𐑦𐑕𐑦𐑠𐑩𐑯-𐑥𐑱𐑒𐑼
deluxe	𐑛𐑦𐑤𐑫𐑒𐑕	dɪlˈʊks	UNC	RSSB	89	shave_says:𐑛𐑦𐑤𐑳𐑒𐑕
desguise	𐑛𐑦𐑕𐑜𐑲𐑟	dɪsɡˈaɪz	UNC	RSSB	89	shave_says:desguise
