word	shaw	ipa	pos	var	confidence
-loquy	𐑤𐑩𐑒𐑢𐑦	ləkwi	UNC	RSSB	high
-lord	𐑤𐑹𐑛	lɔːRd	UNC	RSSB	high
-ly	𐑤𐑦	lɪ	UNC	RSSB	high
-ly	𐑤𐑰	liː	UNC	RSSB	high
-mane	𐑥𐑱𐑯	meɪn	UNC	RSSB	high
-meister	𐑥𐑲𐑕𐑑𐑼	maɪstəR	UNC	RSSB	high
-merous	-𐑥𐑼𐑩𐑕	-mərəs	UNC	RGAM	high
-merous	-𐑥𐑼𐑼𐑕	-mərəRs	UNC	RSSB	high
-metasone	𐑥𐑧𐑑𐑩𐑕𐑴𐑯	ˈmetəsəʊn	UNC	RSSB	high
-metasone	𐑥𐑧𐑑𐑩𐑟𐑴𐑯	ˈmetəzəʊn	UNC	RSSB	high
-methasone	𐑥𐑧𐑔𐑩𐑕𐑴𐑯	ˈmeθəsəʊn	UNC	RSSB	high
-methasone	𐑥𐑧𐑔𐑩𐑟𐑴𐑯	ˈmeθəzəʊn	UNC	RSSB	high
-moder	-𐑥𐑴𐑛𐑼	-moʊdəR	UNC	RSSB	high
-morelin	𐑥𐑴𐑮𐑧𐑤𐑦𐑯	məʊrelɪn	UNC	RSSB	high
-morphy	𐑥𐑹𐑓𐑦	mɔːRfi	UNC	RSSB	high
-navir	𐑯𐑩𐑝𐑦𐑮	nəˌvɪr	UNC	RGAM	high
-navir	𐑯𐑩𐑝𐑽	nəvɪəR	UNC	RSSB	high
-nercept	𐑯𐑼𐑕𐑧𐑐𐑑	nəRsept	UNC	RSSB	high
-ness	𐑯𐑦𐑕	nɪs	UNC	RSSB	high
-ness	𐑯𐑧𐑕	nes	UNC	RGAM	high
-ness	𐑯𐑩𐑕	nəs	UNC	RSSB	high
-nicline	𐑯𐑩𐑒𐑤𐑦𐑯	nəklɪn	UNC	RGAM	high
-nidazole	𐑯𐑲𐑛𐑩𐑟𐑴𐑤	ˈnaɪdəˌzoʊl	UNC	RGAM	high
-nidazole	𐑯𐑳𐑦𐑛𐑩𐑟𐑴𐑤	ˈnʌɪdəzəʊl	UNC	RSSB	high
-nidipine	𐑯𐑦𐑛𐑦𐑐𐑰𐑯	ˈnɪdɪpiːn	UNC	RSSB	high
-nidipine	𐑯𐑦𐑛𐑩𐑐𐑰𐑯	ˈnɪdəˌpiːn	UNC	RGAM	high
-o	𐑴	əʊ	UNC	RSSB	high
-odontia	𐑩𐑛𐑪𐑯𐑑𐑾	əˈdɒntɪə	UNC	RSSB	high
-odontia	𐑩𐑛𐑪𐑯𐑖𐑦𐑩	əˈdɒnʃiə	UNC	RGAM	high
-odontia	𐑩𐑛𐑪𐑯𐑖𐑩	əˈdɒnʃə	UNC	RGAM	high
