type	word	pos	var	ipa	shaw_fragment	full_ipa	full_shaw	confidence
affix	-fosfamide	UNC	RSSB	ˈfɒsfəmʌɪd	𐑓𐑪𐑕𐑓𐑩𐑥𐑳𐑦𐑛			89
affix	-fosfamide	UNC	GenAm	ˈfɒsfəˌmaɪd	𐑓𐑪𐑕𐑓𐑩𐑥𐑲𐑛			89
affix	-fosine	UNC	RSSB	fəziːn	𐑓𐑩𐑟𐑰𐑯			89
affix	-fosine	UNC	GenAm	fəˌsin	𐑓𐑩𐑕𐑦𐑯			89
affix	-fovir	UNC	RSSB	fəvɪəR	𐑓𐑩𐑝𐑽			89
affix	-fovir	UNC	GenAm	fəˌvɪr	𐑓𐑩𐑝𐑦𐑮			89
affix	-fu	UNC	RSSB	fuː	𐑓𐑵			89
affix	-gasm	UNC	GenAm	-ɡæzəm	-𐑜𐑨𐑟𐑩𐑥			97
affix	-gesterone	UNC	RSSB	dʒestərəʊn	𐑡𐑧𐑕𐑑𐑼𐑴𐑯			89
affix	-gesterone	UNC	GenAm	ˈdʒestəˌroʊn	𐑡𐑧𐑕𐑑𐑼𐑴𐑯			89
affix	-gliflozin	UNC	RSSB	ɡlɪˈfləʊzɪn	𐑜𐑤𐑦𐑓𐑤𐑴𐑟𐑦𐑯			89
affix	-gliflozin	UNC	GenAm	ɡlɪˈfloʊzɪn	𐑜𐑤𐑦𐑓𐑤𐑴𐑟𐑦𐑯	ɡlɪˈfloʊzɪn	𐑜𐑤𐑦𐑓𐑤𐑴𐑟𐑦𐑯	89
affix	-glitazar	UNC	RSSB	ɡlɪtəzɑːR	𐑜𐑤𐑦𐑑𐑩𐑟𐑸			89
affix	-glitazar	UNC	GenAm	ˈɡlɪtəˌzɑːR	𐑜𐑤𐑦𐑑𐑩𐑟𐑸	ˈɡlɪtəˌzɑːR	𐑜𐑤𐑦𐑑𐑩𐑟𐑸	89
