word	pos	var	shaw	ipa	confidence	source	status	readlex_var	shaw_override	pos_override	var_override	verdict	notes
1984	NP0	RSSB	𐑯𐑲𐑯𐑑𐑰𐑯𐑱𐑑𐑦𐑓𐑷	ˌnaɪntiːnˌeɪtiˈfɔː	10	wiktionary	new						numeral; shave_says:1984
1984-ish	AJ0	RSSB	𐑯𐑳𐑦𐑯𐑑𐑰𐑯𐑱𐑑𐑦𐑓𐑹𐑦𐑖	ˌnʌɪntiːneɪtiˈfɔːrɪʃ	10	wiktionary	new						numeral; shave_says:1984-𐑦𐑖
1990s	NN1	GenAm	𐑯𐑲𐑯𐑑𐑦𐑯𐑯𐑲𐑯𐑑𐑦𐑟	ˈnaɪntinˈnaɪntiz	10	wordnet	new						numeral; shave_says:1990s
1990s	NN1	GenAm	𐑯𐑲𐑯𐑑𐑦𐑯𐑯𐑲𐑯𐑑𐑦𐑟	ˈnaɪntinˈnaɪntiz	10	wiktionary	new						numeral; shave_says:1990s
1990s	NN1	GenAm	𐑯𐑲𐑯𐑑𐑦𐑯𐑯𐑲𐑑𐑦𐑟	ˈnaɪntinˈnaɪtiz	10	wiktionary	new						numeral; shave_says:1990s
1990s	NN1	RSSB	𐑯𐑲𐑯𐑑𐑰𐑯𐑯𐑲𐑯𐑑𐑰𐑟	ˈnaɪntiːnˈnaɪntiːz	10	wordnet	new						numeral; shave_says:1990s
1990s	NN1	RSSB	𐑯𐑲𐑯𐑑𐑰𐑯𐑯𐑲𐑯𐑑𐑰𐑟	ˈnaɪntiːnˈnaɪntiːz	10	wiktionary	new						numeral; shave_says:1990s
1st	AJ0	RRP	𐑓𐑻𐑕𐑑	fɜːst	10	wiktionary+wordnet	new						numeral; shave_says:1𐑕𐑑
2.0	AJ0	GenAm	𐑑𐑫 𐑐𐑶𐑯𐑑 𐑴	tu pɔɪnt oʊ	10	wiktionary	new						numeral; shave_says:2.0
2.0	AJ0	GenAm	𐑑𐑫 𐑐𐑶𐑯𐑴	tu pɔɪˈnoʊ	10	wiktionary	new						numeral; shave_says:2.0
24-hour clock	NN1	CotCaught	𐑑𐑢𐑧𐑯𐑑𐑦𐑓𐑹𐑬𐑼 𐑒𐑤𐑷𐑒	ˌtwentiˈfɔːRˌaʊər ˈklɒk	10	wiktionary	new						cot-caught variant of GenAm 𐑑𐑢𐑧𐑯𐑑𐑦𐑓𐑹𐑬𐑼 𐑒𐑤𐑪𐑒
