word	our_shaw	our_ipa	var	confidence	readlex_shaw	readlex_ipa	notes
diarrhea	𐑛𐑲𐑼𐑰𐑩	daɪəriːə	RRP	3	𐑛𐑲𐑼𐑾	ˌdaɪəˈrɪə	ml_disagrees:𐑛𐑲𐑼𐑦ː𐑩; r_gap:spelling=2,ipa=1; shave_says:𐑛𐑲𐑼𐑾
actually	𐑨𐑒𐑖𐑫𐑼𐑤𐑦	ˈakʃʊəli	RRP	5	𐑨𐑒𐑗𐑫𐑩𐑤𐑦	ˈæktʃuəli	ml_disagrees:𐑨𐑒𐑖𐑫𐑩𐑤𐑦; shave_says:𐑨𐑒𐑗𐑫𐑩𐑤𐑦
bayonet	𐑚𐑱𐑩𐑯𐑦𐑑	ˈbeɪənɪt	RRP	5	𐑚𐑱𐑩𐑯𐑧𐑑	ˈbeɪənet	ml_disagrees:𐑚𐑱𐑩𐑯𐑩𐑑; shave_says:𐑚𐑱𐑩𐑯𐑧𐑑
communion	𐑒𐑩𐑥𐑿𐑯𐑘𐑩𐑯	kəˈmjuːnjən	RRP	5	𐑒𐑩𐑥𐑿𐑯𐑾𐑯	kəˈmjuːnɪən	ml_disagrees:𐑒𐑩𐑥𐑿𐑯𐑾𐑯; shave_says:[𐑒𐑩𐑥𐑿𐑯𐑘𐑩𐑯 / 𐑒𐑩𐑥𐑿𐑯𐑾𐑯]
comprehensible	𐑒𐑪𐑥𐑐𐑮𐑩𐑣𐑧𐑯𐑕𐑦𐑚𐑩𐑤	kɒmprəhensɪbəl	RRP	5	𐑒𐑪𐑥𐑐𐑮𐑦𐑣𐑧𐑯𐑕𐑩𐑚𐑩𐑤	ˌkɒmprɪˈhensəbəl	ml_disagrees:𐑒𐑪𐑥𐑐𐑮𐑩𐑣𐑧𐑯𐑕𐑩𐑚𐑩𐑤; shave_says:𐑒𐑪𐑥𐑐𐑮𐑦𐑣𐑧𐑯𐑕𐑩𐑚𐑩𐑤
continuation	𐑒𐑩𐑯𐑑𐑦𐑯𐑘𐑩𐑱𐑖𐑯	kəntɪnjəˈeɪʃn	RRP	5	𐑒𐑩𐑯𐑑𐑦𐑯𐑘𐑫𐑱𐑖𐑩𐑯	kənˌtɪnjuˈeɪʃən	ml_disagrees:𐑒𐑩𐑯𐑑𐑦𐑯𐑘𐑫𐑱𐑖𐑯; shave_says:𐑒𐑩𐑯𐑑𐑦𐑯𐑘𐑫𐑱𐑖𐑩𐑯
cure-all	𐑒𐑘𐑩𐑼𐑷𐑤	kjəərɔːl	RRP	5	𐑒𐑘𐑫𐑼-𐑷𐑤	ˈkjʊər-ɔːl	ml_disagrees:𐑒𐑘𐑫𐑼𐑷𐑤; shave_says:𐑒𐑘𐑫𐑼-𐑷𐑤
curious	𐑒𐑘𐑩𐑼𐑦𐑩𐑕	kjəəriəs	RRP	5	𐑒𐑘𐑫𐑼𐑾𐑕	ˈkjʊərɪəs	ml_disagrees:𐑒𐑘𐑫𐑼𐑦𐑩𐑕; shave_says:𐑒𐑘𐑫𐑼𐑾𐑕
curiously	𐑒𐑘𐑩𐑼𐑦𐑩𐑕𐑤𐑦	kjəəriəsli	RRP	5	𐑒𐑘𐑫𐑼𐑾𐑕𐑤𐑦	ˈkjʊərɪəsli	ml_disagrees:𐑒𐑘𐑫𐑼𐑦𐑩𐑕𐑤𐑦; shave_says:𐑒𐑘𐑫𐑼𐑾𐑕𐑤𐑦
davit	𐑛𐑱𐑝𐑦𐑑	ˈdeɪvɪt	RRP	5	𐑛𐑨𐑝𐑦𐑑	ˈdævɪt	ml_disagrees:𐑛𐑱𐑝𐑩𐑑; shave_says:𐑛𐑨𐑝𐑦𐑑
debenture	𐑛𐑦𐑚𐑧𐑯𐑑𐑘𐑩𐑼	dɪbentjəəR	RRP	5	𐑛𐑦𐑚𐑧𐑯𐑗𐑼	dɪˈbentʃəR	ml_disagrees:𐑛𐑦𐑚𐑧𐑯𐑑𐑘ː𐑼; shave_says:𐑛𐑦𐑚𐑧𐑯𐑗𐑼
deciduous	𐑛𐑦𐑕𐑦𐑡𐑫𐑼𐑕	dɪˈsɪdʒʊəs	RRP	5	𐑛𐑦𐑕𐑦𐑛𐑘𐑫𐑩𐑕	dɪˈsɪdjuəs	ml_disagrees:𐑛𐑦𐑕𐑦𐑡𐑫𐑩𐑕; shave_says:𐑛𐑦𐑕𐑦𐑛𐑘𐑫𐑩𐑕
disciplinary	𐑛𐑦𐑕𐑦𐑐𐑤𐑦𐑯𐑼𐑦	dɪsɪplɪnəri	RRP	5	𐑛𐑦𐑕𐑩𐑐𐑤𐑦𐑯𐑼𐑦	ˈdɪsəplɪnəri	ml_disagrees:𐑛𐑦𐑕𐑩𐑐𐑤𐑦𐑯𐑼𐑦; shave_says:[𐑛𐑦𐑕𐑦𐑐𐑤𐑦𐑯𐑼𐑦 / 𐑛𐑦𐑕𐑩𐑐𐑤𐑦𐑯𐑼𐑦]
disciplined	𐑛𐑦𐑕𐑦𐑐𐑤𐑦𐑯𐑛	ˈdɪsɪplɪnd	RRP	5	𐑛𐑦𐑕𐑩𐑐𐑤𐑦𐑯𐑛	ˈdɪsəplɪnd	ml_disagrees:𐑛𐑦𐑕𐑩𐑐𐑤𐑦𐑯𐑛; shave_says:[𐑛𐑦𐑕𐑦𐑐𐑤𐑦𐑯𐑛 / 𐑛𐑦𐑕𐑩𐑐𐑤𐑦𐑯𐑛]
emporium	𐑧𐑥𐑐𐑹𐑦𐑩𐑥	empɔːriəm	RRP	5	𐑦𐑥𐑐𐑹𐑾𐑥	ɪmˈpɔːrɪəm	ml_disagrees:𐑦𐑥𐑐𐑹𐑦𐑩𐑥; shave_says:𐑦𐑥𐑐𐑹𐑾𐑥
empress	𐑧𐑥𐑐𐑮𐑩𐑕	emprəs	RRP	5	𐑧𐑥𐑐𐑮𐑧𐑕	ˈempres	ml_disagrees:𐑦𐑥𐑐𐑮𐑩𐑕; shave_says:𐑧𐑥𐑐𐑮𐑧𐑕
empyrean	𐑧𐑥𐑐𐑲𐑮𐑰𐑩𐑯	empaɪriːən	RRP	5	𐑧𐑥𐑐𐑲𐑼𐑾𐑯	ˌempaɪəˈriən	ml_disagrees:𐑦𐑥𐑐𐑲𐑮𐑰𐑩𐑯; shave_says:𐑧𐑥𐑐𐑲𐑼𐑾𐑯
