clitoral,AJ0,RRP,keep,𐑒𐑤𐑦𐑑𐑼𐑩𐑤,𐑒𐑤𐑦𐑑𐑼𐑩𐑤,klɪtərəl,ˈklɪtərəl,,,shave_says:𐑒𐑤𐑦𐑑𐑹𐑩𐑤
cloaca,NN1,RRP,keep,𐑒𐑤𐑴𐑱𐑒𐑩,𐑒𐑤𐑴𐑱𐑒𐑩,kləʊˈeɪkə,kloʊˈeɪkə,,,shave_agrees
clusterfuck,NN1,RRP,keep,𐑒𐑤𐑳𐑕𐑑𐑼𐑓𐑳𐑒,𐑒𐑤𐑳𐑕𐑑𐑼𐑓𐑳𐑒,klʌstəRfʌk,ˈklʌstəRˌfʌk,,,shave_agrees
coaxial,AJ0,RRP,keep,𐑒𐑴𐑨𐑒𐑕𐑰𐑩𐑤,𐑒𐑴𐑨𐑒𐑕𐑰𐑩𐑤,kəʊˈæksiːəl,koʊˈæksiːəl,𐑒𐑴𐑨𐑒𐑕𐑾𐑤,,"ML is messing up Air, Ian and Ear."
cofounder,NN1,RRP,keep,𐑒𐑴𐑓𐑬𐑯𐑛𐑼,𐑒𐑴𐑓𐑬𐑯𐑛𐑼,kəʊfaʊndəR,ˈkoʊfaʊndəR,,,shave_agrees
conferral,NN1,RRP,keep,𐑒𐑩𐑯𐑓𐑻𐑩𐑤,𐑒𐑩𐑯𐑓𐑻𐑩𐑤,kənfɜːrəl,kənˈfɜːRəl,,,"r_gap:spelling=2,ipa=1; shave_agrees"
congregationalism,NN1,RRP,keep,𐑒𐑪𐑙𐑜𐑮𐑩𐑜𐑱𐑖𐑩𐑯𐑩𐑤𐑦𐑟𐑩𐑥,𐑒𐑪𐑙𐑜𐑮𐑩𐑜𐑱𐑖𐑩𐑯𐑩𐑤𐑦𐑟𐑩𐑥,kɒŋɡrəɡeɪʃənəlɪzəm,ˌkɒŋɡrəˈɡeɪʃənəˌlɪzəm,,,shave_says:𐑒𐑪𐑙𐑜𐑮𐑦𐑜𐑱𐑖𐑩𐑯𐑩𐑤𐑦𐑟𐑩𐑥
congregationalist,NN1,RRP,keep,𐑒𐑪𐑙𐑜𐑮𐑩𐑜𐑱𐑖𐑩𐑯𐑩𐑤𐑦𐑕𐑑,𐑒𐑪𐑙𐑜𐑮𐑩𐑜𐑱𐑖𐑩𐑯𐑩𐑤𐑦𐑕𐑑,kɒŋɡrəɡeɪʃənəlɪst,kɒŋɡrəˈɡeɪʃənəlɪst,,,shave_says:𐑒𐑪𐑙𐑜𐑮𐑦𐑜𐑱𐑖𐑩𐑯𐑩𐑤𐑦𐑕𐑑
constrictor,NN1,RRP,keep,𐑒𐑩𐑯𐑕𐑑𐑮𐑦𐑒𐑑𐑼,𐑒𐑩𐑯𐑕𐑑𐑮𐑦𐑒𐑑𐑼,kənstrɪktəR,kənˈstrɪktəR,,,shave_agrees
cordate,AJ0,RRP,keep,𐑒𐑹𐑛𐑱𐑑,𐑒𐑹𐑛𐑱𐑑,kɔːRdeɪt,ˈkɔːrdeɪt,,,shave_agrees
cosign,VVI,RRP,keep,𐑒𐑴𐑕𐑲𐑯,𐑒𐑴𐑕𐑲𐑯,ˈkəʊsaɪn,ˈkoʊsaɪn,,,shave_agrees
croat,NN1,RRP,keep,𐑒𐑮𐑴𐑨𐑑,𐑒𐑮𐑴𐑨𐑑,ˈkrəʊæt,ˈkroʊæt,,,shave_agrees
croatian,AJ0,RRP,keep,𐑒𐑮𐑴𐑱𐑖𐑩𐑯,𐑒𐑮𐑴𐑱𐑖𐑩𐑯,krəʊeɪʃən,ˌkroʊˈeɪʃən,,,shave_agrees
croatian,NN1,RRP,keep,𐑒𐑮𐑴𐑱𐑖𐑩𐑯,𐑒𐑮𐑴𐑱𐑖𐑩𐑯,krəʊeɪʃən,ˌkroʊˈeɪʃən,,,shave_agrees
cromulent,AJ0,RRP,keep,𐑒𐑮𐑪𐑥𐑘𐑩𐑤𐑩𐑯𐑑,𐑒𐑮𐑪𐑥𐑘𐑩𐑤𐑩𐑯𐑑,krɒmjələnt,ˈkrɒmjələnt,,,shave_says:𐑒𐑮𐑪𐑥𐑿𐑤𐑩𐑯𐑑
cronyism,NN1,RRP,keep,𐑒𐑮𐑴𐑯𐑦𐑦𐑟𐑩𐑥,𐑒𐑮𐑴𐑯𐑦𐑦𐑟𐑩𐑥,krəʊniɪzəm,ˈkroʊniɪzəm,,,shave_agrees
cross-dresser,NN1,RRP,keep,𐑒𐑮𐑪𐑕𐑛𐑮𐑧𐑕𐑼,𐑒𐑮𐑪𐑕𐑛𐑮𐑧𐑕𐑼,krɒsdresəR,ˈkrɒsˌdresəR,𐑒𐑮𐑪𐑕-𐑛𐑮𐑧𐑕𐑼,,We should maybe try to reconstruct spaces in our interpretation of the IPA?
cryptology,NN1,RRP,keep,𐑒𐑮𐑦𐑐𐑑𐑪𐑤𐑩𐑡𐑦,𐑒𐑮𐑦𐑐𐑑𐑪𐑤𐑩𐑡𐑦,krɪptɒlədʒi,krɪpˈtɒlədʒi,,,shave_agrees
